Council District,Total Units,Total Nom Watts Before (kW),Total Nom Watts After (kW),% Energy Savings,Annual C02 Reduction (Metric Tons),Annual Energy Savings (GWh),Annual Energy Savings
1,7360,1745.6,686.7,60.70%,2554.6,4.32,382603.62
2,5366,1322.5,426.5,67.80%,2161.7,3.656,323322.08
3,13967,3101,1038.3,66.50%,4976.4,8.416,751364.72
4,9279,2124.4,754.9,64.50%,3303.7,5.587,493912.89
5,11452,2871.2,943,67.20%,4663.7,7.867,695448.83
6,8535,2117.9,762.3,64%,3270.4,5.531,496732
7,8916,2031.4,738.6,63.60%,3118.9,5.275,471142.4
8,16198,3519.4,1409.7,59.90%,5089.6,8.608,761246.75
9,11109,2597.3,977.4,62.40%,3907.9,6.609,595161.2
10,12374,2766.1,1064.3,61.50%,4105.4,6.943,613767.08
11,10777,2722.1,948.3,65.20%,4279.5,7.237,647984.39
12,19800,4324.5,1629.7,62.30%,6501.1,10.995,984419.78
13,8686,1911.9,698.6,63.50%,2927.1,4.95,437608.39
14,12890,3351.6,1203.6,64.10%,5182,8.764,774712.28
15,14851,3314.1,1207.7,63.60%,5081.7,8.594,759719.5
