"zip_code","Population","MedianIncome","city","state","latitude","longitude"
89010,368,35000,"Dyer","NV",37.751707,-118.08592
89019,1843,37632,"Jean","NV",35.801952,-115.57819
89060,9831,40726,"Pahrump","NV",36.264185,-116.038857
89061,4938,55096,"Pahrump","NV",36.119299,-115.938992
89439,1563,59275,"Verdi","CA",39.523693,-120.03012
90001,56314,34050,"Los Angeles","CA",33.972914,-118.24878
90002,50098,30214,"Los Angeles","CA",33.948315,-118.24845
90003,66913,30016,"Los Angeles","CA",33.962714,-118.276
90004,63547,38493,"Los Angeles","CA",34.07711,-118.30755
90005,38638,31214,"Los Angeles","CA",34.058911,-118.30848
90006,61419,31403,"Los Angeles","CA",34.048351,-118.2943
90007,43779,22646,"Los Angeles","CA",34.026448,-118.2829
90008,33012,36180,"Los Angeles","CA",34.009754,-118.33705
90010,3792,47308,"Los Angeles","CA",34.062709,-118.31481
90011,102926,29889,"Los Angeles","CA",34.007063,-118.25868
90012,30029,29492,"Los Angeles","CA",34.061611,-118.23944
90013,10575,21120,"Los Angeles","CA",34.044662,-118.24255
90014,6659,17134,"Los Angeles","CA",34.042912,-118.25193
90015,18226,28953,"Los Angeles","CA",34.038993,-118.26516
90016,47786,38050,"Los Angeles","CA",34.029711,-118.35255
90017,23719,21009,"Los Angeles","CA",34.052561,-118.26434
90018,48852,32104,"Los Angeles","CA",34.029112,-118.3183
90019,67606,43244,"Los Angeles","CA",34.048411,-118.34015
90020,39102,37121,"Los Angeles","CA",34.06646,-118.30863
90021,2913,12748,"Los Angeles","CA",34.029313,-118.24182
90022,69516,39051,"Los Angeles","CA",34.023662,-118.15581
90023,45886,37082,"Los Angeles","CA",34.023039,-118.20231
90024,50117,59125,"Los Angeles","CA",34.063209,-118.43643
90025,45284,71278,"Los Angeles","CA",34.045006,-118.44527
90026,67986,46435,"Los Angeles","CA",34.07851,-118.26596
90027,46025,50316,"Los Angeles","CA",34.111208,-118.28842
90028,29994,31742,"Los Angeles","CA",34.098859,-118.32745
90029,40161,35253,"Los Angeles","CA",34.090259,-118.29455
90031,39333,34656,"Los Angeles","CA",34.07871,-118.2161
90032,47309,45208,"Los Angeles","CA",34.08166,-118.17568
90033,48567,27190,"Los Angeles","CA",34.050411,-118.21195
90034,58968,56743,"Los Angeles","CA",34.03056,-118.39804
90035,31399,75327,"Los Angeles","CA",34.05266,-118.38531
90036,36425,71049,"Los Angeles","CA",34.07036,-118.34926
90037,61536,26638,"Los Angeles","CA",34.002063,-118.28737
90038,28798,33850,"Los Angeles","CA",34.089459,-118.3285
90039,27843,67170,"Los Angeles","CA",34.110425,-118.25832
90040,12830,44531,"Los Angeles","CA",33.997492,-118.15284
90041,28439,64545,"Los Angeles","CA",34.137557,-118.20765
90042,61034,51427,"Los Angeles","CA",34.114558,-118.19233
90043,43118,38738,"Los Angeles","CA",33.987463,-118.334
90044,88412,28344,"Los Angeles","CA",33.953814,-118.29158
